Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,# of Customers Affected Cleaned,Tags,Regions_raw,Region
Shed Firm Load/ Reduced Voltage,2006,9/14/2006,8:56 a.m.,9/14/2006,9:08 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,59,"34,716","34,716","load shedding, voltage reduction",Island of Puerto Rico,Puerto Rico
Tropical Storm Ernesto,2006,9/1/2006,8:00 p.m.,9/4/2006,5:00 p.m.,Atlantic City Electric,Southern New Jersey Counties,RFC,400,"100,000","100,000","severe weather, hurricane/tropical storm",Southern New Jersey Counties,New Jersey
Tropical Storm Ernesto,2006,9/1/2006,6:41 a.m.,9/3/2006,3:25 p.m.,Dominion - Virginia Power/North Carolina Power,Virginia and North Carolina,SERC,500,"333,000","333,000","severe weather, hurricane/tropical storm",Virginia and North Carolina,Virginia
Tropical Storm Ernesto,2006,9/1/2006,10:00 a.m.,9/4/2006,2:00 p.m.,Delmarva Power,Southern Delmarva Peninsula,RFC,380,"105,000","105,000","severe weather, hurricane/tropical storm",Delaware,Delaware
Tropical Storm Ernesto,2006,9/1/2006,3:00 p.m.,9/4/2006,11:00 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,,"146,094","146,094","severe weather, hurricane/tropical storm","Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",Pennsylvania
Tropical Storm Ernesto,2006,9/1/2006,5:30 a.m.,9/1/2006,10:00 a.m.,"Progress Energy Carolinas, Inc.",Eastern North Carolina,SERC,,"61,000","61,000","severe weather, hurricane/tropical storm",Eastern North Carolina,North Carolina
Shed Firm Load/Reduced Voltage,2006,8/24/2006,9:58 p.m.,8/24/2006,11:25 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,180,"106,000","106,000","load shedding, voltage reduction",Island of Puerto Rico,Puerto Rico
Severe Thunderstorm,2006,8/10/2006,8:00 p.m.,8/12/2006,12:00 p.m.,Idaho Power Company,Southwest Idaho and Eastern Oregon,WECC,80 to 100,"65,000","65,000","severe weather, thunderstorm",Southwest Idaho and Eastern Oregon,Oregon
Made Public Appeals,2006,8/7/2006,1:00 p.m.,8/7/2006,6:00 p.m.,American Electric Power,"Tulsa, Oklahoma",RFC,75,Major Industrial Customer Load Reduction,,public appeal,"Tulsa, Oklahoma",Oklahoma
Shed Firm Load,2006,8/3/2006,2:16 p.m.,8/3/2006,2:46 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,369,"227,480","227,480",load shedding,Island of Puerto Rico,Puerto Rico
Declared Energy Emergency Alert 2/Heat Wave,2006,8/2/2006,12:00 p.m.,8/2/2006,4:45 p.m.,Midwest ISO,"Midwest ISO's Market Sub-regions:  AMRN, CIN, CILC, CWLD, CWLP, FE, HE, IP, IPL, LGEE, MECS, NIPS, SIGE, SIPC",MRO,,,,"severe weather, heat","Midwest ISO's Market Sub-regions:  AMRN, CIN, CILC, CWLD, CWLP, FE, HE, IP, IPL, LGEE, MECS, NIPS, SIGE, SIPC",Midwest
System Wide Voltage Reduction,2006,8/2/2006,1:00 p.m.,8/2/2006,4:35 p.m.,ISO England,New England,NPCC,,,,voltage reduction,New England,New England
Severe Thunderstorms,2006,8/2/2006,7:00 p.m.,8/3/2006,1:00 a.m.,National Grid,New England,NPCC,100-140,"77,000","77,000","severe weather, thunderstorm",New England,New England
Made Public Appeals,2006,8/1/2006,1:00 p.m.,8/1/2006,8:30 p.m.,Duke Energy Midwest,"Ohio, Indiana, Kentucky",RFC,90,,,public appeal,"Ohio, Indiana, Kentucky",Ohio
Made Public Appeals/Heat Wave,2006,8/1/2006,12:00 p.m.,8/1/2006,7:00 p.m.,First Energy Corporation,Northern Ohio,RFC,,,,"severe weather, heat, public appeal",Northern Ohio,Ohio
Severe Thunderstorms,2006,7/27/2006,6:38 p.m.,7/29/2006,9:36 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,,"167,564","167,564","severe weather, thunderstorm","Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",Pennsylvania
Widespread Heat Wave/CAISO  Implementation of Stage 2 Electrical Emergency Plan,2006,7/24/2006,2:33 p.m.,7/24/2006,5:33 p.m.,California ISO,California,WECC,695,,,"severe weather, heat",California,California
Widespread Heat Wave/CAISO Implementation of Stage 2 Electrical Emergency Plan,2006,7/24/2006,2:33 p.m.,7/24/2006,5:33 p.m.,Southern California Edison Company,California,WECC,414,Interruptible Tarriff 1-6 customers,,"severe weather, heat",California,California
Widespread Heat Wave/Public Appeals Made,2006,7/22/2006,1:09 p.m.,7/27/2006,4:00 p.m.,Pacific Gas and Electric Company,California,WECC,200,"1,271,893","1,271,893","severe weather, heat, public appeal",California,California
Severe Storms (3) (Many customers experienced multiple outages.),2006,7/19/2006,6:00 p.m.,7/31/2006,8:00 a.m.,Ameren Corporation,Greater St. Louis Metropolitan area (Missouri and Illinois),MRO,"1,500","700,000 (peak)  2,500,000 (actual)","2,500,000","severe weather, storm",Greater St. Louis Metropolitan area (Missouri and Illinois),Missouri
Load Reduction/Public Appeals Made,2006,7/19/2006,11:00 a.m.,7/19/2006,5:54 p.m.,Entergy Services Inc.,"Greater Little Rock, Arkansas",SERC,40,"8,000","8,000","load shedding, public appeal","Greater Little Rock, Arkansas",Arkansas
Severe Lightning Storms,2006,7/18/2006,6:36 p.m.,7/23/2006,11:59 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,,"492,955","492,955","severe weather, thunderstorm","Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",Pennsylvania
Lightning Storms/Tripped Lines,2006,7/18/2006,8:07 p.m.,7/18/2006,10:32 p.m.,ISO New England,"Norwalk, Stamford, Connecticut",NPCC,0,0,0,"severe weather, thunderstorm","Norwalk, Stamford, Connecticut",Connecticut
Severe Lightning Storms,2006,7/17/2006,9:00 p.m.,7/18/2006,9:00 a.m.,Exelon Corporation West ComEd,Northern Counties of Illinois,RFC,,"170,519","170,519","severe weather, thunderstorm",Northern Counties of Illinois,Illinois
Severe Weather/Public Appeals Made/Voltage Reduction,2006,7/17/2006,6:50 p.m.,7/25/2006,3:06 a.m.,Consolidated Edison Company of NY,"Northwest Queens, New York City",NPCC,,"25,000","25,000","severe weather, public appeal, voltage reduction","Northwest Queens, New York City",New York
Severe Lightning Storms,2006,7/16/2006,2:00 p.m.,7/21/2006,12:00 a.m.,Consumers Energy,Middle 1/3 of Michigan Lower Peninsula,RFC,150,"315,000","315,000","severe weather, thunderstorm",Middle 1/3 of Michigan Lower Peninsula,Michigan
Severe Thunderstorms,2006,7/4/2006,5:30 p.m.,7/4/2006,8:18 p.m.,Dominion - Virginia Power/North Carolina,Northern Virginia,RFC,335,"67,000","67,000","severe weather, thunderstorm",Northern Virginia,Virginia
Severe Thunderstorms,2006,7/2/2006,6:39 p.m.,7/3/2006,12:31 a.m.,Dominion - Virginia Power/North Carolina,Northern Virginia,RFC,300,"75,000","75,000","severe weather, thunderstorm",Northern Virginia,Virginia
Severe Thunderstorms,2006,6/22/2006,2:00 p.m.,6/27/2006,11:00 p.m.,American Electric Power,Ohio and Indiana,RFC,750,"195,000","195,000","severe weather, thunderstorm",Ohio and Indiana,Ohio
Severe Thunderstorm,2006,6/11/2006,6:00 p.m.,6/11/2006,9:00 p.m.,Duke Energy Carolinas,"Charlotte, North Carolina Metropolitan area",SERC,70,"72,000","72,000","severe weather, thunderstorm","Charlotte, North Carolina Metropolitan area",North Carolina
Severe Weather,2006,6/1/2006,6:00 p.m.,6/3/2006,9:00 a.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,,"111,555","111,555",severe weather,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",Pennsylvania
Load Shed,2006,6/1/2006,2:12 p.m.,6/1/2006,6:09 p.m.,Hawaiian Electric Company Inc.,Island of Oahu,HECO,120,"29,300","29,300",load shedding,Hawaii,Hawaii
Severe Thunderstorms,2006,6/1/2006,6:30 p.m.,6/3/2006,2:00 p.m.,Baltimore Gas and Electric,Central Maryland,RFC,335,"70,000","70,000","severe weather, thunderstorm",Central Maryland,Maryland
Severe Weather,2006,5/25/2006,7:50 p.m.,5/27/2006,9:00 a.m.,"Duke Energy - Ohio, Kentucky, Indiana","Southwest Ohio, Northern Kentucky, Central Indiana",RFC,800,"210,000","210,000",severe weather,"Southwest Ohio, Northern Kentucky, Central Indiana",Ohio
Lightning Strike,2006,5/19/2006,3:13 p.m.,5/19/2006,10:30 p.m.,Crockett Cogeneration,"San Francisco Bay area, California",WECC,133,-,,"severe weather, thunderstorm",California,California
Load Shed,2006,5/4/2006,2:12 p.m.,5/4/2006,2:45 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,140,"94,639","94,639",load shedding,Island of Puerto Rico,Puerto Rico
Transmission Equipment Failure/Fire,2006,5/3/2006,3:30 p.m.,5/3/2006,9:35 p.m.,Pacific Gas and Electric Company,City of Bakersfield area,WECC,300,"55,655","55,655","equipment failure, wild fire",California,California
Lightning Storm,2006,4/29/2006,2:55 p.m.,4/29/2006,3:45 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,237,"164,105","164,105","severe weather, thunderstorm",Island of Puerto Rico,Puerto Rico
Severe Weather,2006,4/21/2006,7:00 a.m.,4/21/2006,10:00 a.m.,CenterPoint Energy,System-wide greater Houston metro area,ERCOT,219,"82,000","82,000",severe weather,Texas,Texas
Load Shed/Declared EECP,2006,4/17/2006,3:25 p.m.,4/17/2006,7:30 p.m.,Electric Reliability Council of Texas,ERCOT Region of Texas,ERCOT,"1,000","200,000","200,000",load shedding,Texas,Texas
Load Shed/ Declared EECP,2006,4/17/2006,4:11 p.m.,4/17/2006,7:20 p.m.,TXU Electric Delivery Company,North and East Texas,ERCOT,380,"489,478","489,478",load shedding,North and East Texas,Texas
Load Shed/Made Public Appeals/Rolling Blackouts,2006,4/17/2006,4:20 p.m.,4/17/2006,6:30 p.m.,Austin Energy,State of Texas (all of Austin Energy),ERCOT,37- 40,"8,000 -10,000",9000,"load shedding, public appeal",State of Texas (all of Austin Energy),Texas
Load Shed/Made Public Appeals/Rolling Blackouts,2006,4/17/2006,4:10 p.m.,4/17/2006,6:11 p.m.,CenterPoint Energy,System-wide greater Houston metro area (and across ERCOT),ERCOT,260,"68,000","68,000","load shedding, public appeal",Texas,Texas
Load Shed/Declared EECP,2006,4/17/2006,4:35 p.m.,4/17/2006,6:10 p.m.,American Electric Power,AEP Texas Central/Texas North,ERCOT,108,"51,404","51,404",load shedding,AEP Region,AEP Region
Severe Weather/ Tornadoes,2006,4/8/2006,4:00 a.m.,4/8/2006,11:00 a.m.,Southern Company,North and Central Alabama and Northern Georgia areas,SERC,300,"115,589","115,589","severe weather, tornado",North and Central Alabama and Northern Georgia areas,Georgia
Voltage Reduction/Load Shed,2006,4/7/2006,8:43 a.m.,4/7/2006,9:29 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,116,"54,700","54,700","voltage reduction, load shedding",Island of Puerto Rico,Puerto Rico
Major Storms/Tornadoes,2006,4/2/2006,9:00 p.m.,4/5/2006,4:25 a.m.,Cinergy PSI,Southern half of Indiana,RFC,"1,000","186,000","186,000","severe weather, tornado, storm",Southern half of Indiana,Indiana
Severe Weather,2006,3/12/2006,8:30 p.m.,3/14/2006,12:00 p.m.,"City Water Light and Power (Springfield, Illinois)","Springfield, Illinois and vicinity",RFC,200,"65,400","65,400",severe weather,"Springfield, Illinois and vicinity",Illinois
Severe Weather,2006,3/9/2006,2:00 p.m.,3/9/2006,10:00 p.m.,Entergy Service Inc.,"Arkansas, Mississippi, Louisiana, Southeast Texas",SERC,,"73,000","73,000",severe weather,"Arkansas, Mississippi, Louisiana, Southeast Texas",Texas
Severe Winter Storm,2006,2/27/2006,6:25 p.m.,3/1/2006,2:30 p.m.,Pacific Gas and Electric Company,Northern and Central California,WECC,-,"160,000","160,000","severe weather, winter storm",Northern and Central California,California
Inadequate Electric Resources to Serve Load,2006,2/18/2006,8:50 a.m.,2/18/2006,4:09 p.m.,Public Service Company of Colorado,Colorado,WECC,428,-,,load shedding,Colorado,Colorado
Severe Weather,2006,2/17/2006,4:32 a.m.,2/17/2006,12:00 p.m.,National Grid - NY  (Niagara Mohawk Power Corp),Upstate New York,NPCC,250,"200,000","200,000",severe weather,Upstate New York,New York
Fuel Supply - Deficiency Coal Rail Transportation Interruption,2006,2/16/2006,Ongoing,Ongoing,Ongoing,Missouri Basin Power District,North Dakota,MRO,"1,650",0,0,"fuel supply emergency, coal",North Dakota,North Dakota
Severe Thunderstorm/ Snow/Ice Storm,2006,2/16/2006,12:00 p.m.,2/20/2006,11:00 p.m.,Consumers Energy,"Muskegon, Michigan easterly to Bay City, Michigan",RFC,100,"252,089","252,089","severe weather, winter storm","Muskegon, Michigan easterly to Bay City, Michigan",Michigan
Winter Snow/Ice Storm,2006,2/12/2006,2:00 a.m.,2/13/2006,7:00 a.m.,Delmarva Power,Entire Delmarva Power service territory,RFC,50,"58,000","58,000","severe weather, winter storm",Delaware,Delaware
Major Snow Storm,2006,2/12/2006,12:06 a.m.,2/14/2006,5:44 p.m.,Potomac Electric Power Company,"Washington DC, Montgomery and Prince Georges Counties MD",RFC,300,"60,000","60,000","severe weather, winter storm","Washington DC, Montgomery and Prince Georges Counties MD",Washington
Winter Snow/Ice Storm,2006,2/12/2006,2:00 a.m.,2/14/2006,4:00 p.m.,Atlantic City Electric,Entire Atlantic City Electric territory Southern New Jersey,RFC,80,"130,000","130,000","severe weather, winter storm",Entire Atlantic City Electric territory Southern New Jersey,New Jersey
Severe Snow Storm,2006,2/12/2006,5:55 a.m.,2/12/2006,2:00 p.m.,Dominion - Virginia Power,Northern and Northwestern Virginia,RFC,250,"126,000","126,000","severe weather, winter storm",Northern and Northwestern Virginia,Virginia
Major Snow Storm,2006,2/11/2006,9:00 p.m.,2/14/2006,11:00 p.m.,Baltimore Gas and Electric,Baltimore Metropolitan and Central Maryland,RFC,500,"180,000","180,000","severe weather, winter storm",Baltimore Metropolitan and Central Maryland,Maryland
Severe Windstorm,2006,2/4/2006,4:30 a.m.,2/8/2006,8:00  a.m.,Puget Sound Energy,Western Washington,WECC,--,"140,000","140,000","severe weather, wind",Western Washington,Washington
Strong Winds,2006,2/4/2006,1:34 a.m.,2/6/2006,12:01 a.m.,Snohomish County PUD #1,"Snohomish County, Washington",WECC,150,"123,827","123,827","severe weather, wind","Snohomish County, Washington",Washington
Severe Storm,2006,1/18/2006,3:16 p.m.,1/18/2006,6:34 p.m.,Central Maine Power Company,Southern and Central Maine,NPCC,75,"63,000","63,000","severe weather, storm",Southern and Central Maine,Maine
High Winds,2006,1/14/2006,3:45 p.m.,1/16/2006,5:30 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,--,"142,315","142,315","severe weather, wind","Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",Pennsylvania
Severe Storms,2005,12/31/2005,6:00 a.m.,1/5/2006,9:00 a.m.,Pacific Gas and Electric,Northern and Central California,WECC,800,"1,667,316","1,667,316","severe weather, storm",Northern and Central California,California
Ice Storm,2005,12/15/2005,4:00 a.m.,12/21/2005,5:00 p.m.,Duke Energy Company/Duke Power Control Area,Piedmont North Carolina and South Carolina,SERC,"3,500","683,000","683,000","severe weather, winter storm",Piedmont North Carolina and South Carolina,South Carolina
Ice Storm,2005,12/15/2005,5:05 a.m.,12/16/2005,12:10  p.m.,Southern Company,Northeast Georgia,SERC,75,"52,659","52,659","severe weather, winter storm",Northeast Georgia,Georgia
Severe Thunderstorms,2005,11/12/2005,4:00 p.m.,11/14/2005,6:00 p.m.,We Energies,Southeast Wisconsin,MAIN,10,"48,000","48,000","severe weather, thunderstorm",Southeast Wisconsin,Wisconsin
Severe Thunderstorm,2005,11/12/2005,11:00 p.m.,11/14/2005,11:59 p.m.,Consumers Energy,Western and Central portions of Michigan's Lower Peninsula,ECAR,408,"272,355","272,355","severe weather, thunderstorm",Western and Central portions of Michigan's Lower Peninsula,Michigan
Severe Thunderstorm,2005,11/6/2005,7:30 a.m.,11/11/2005,11:30  p.m.,DTE Energy,Southeast Michigan,ECAR,212,"118,000","118,000","severe weather, thunderstorm",Southeast Michigan,Michigan
Plant Tripped,2005,11/3/2005,6:47 p.m.,11/3/2005,7:00 p.m.,Crockett Cogeneration,"San Francisco Bay area, California",WECC,136,--,,equipment failure,California,California
Hurricane Wilma,2005,10/24/2005,8:00 p.m.,11/2/2005,4:30 p.m.,Allegheny Power,"Maryland, North Central West Virginia, Southwestern Pennsylvania, and Northern Pennsylvania",MAAC,400,"303,795","303,795","severe weather, hurricane/tropical storm","Maryland, North Central West Virginia, Southwestern Pennsylvania, and Northern Pennsylvania",West Virginia
Hurricane Wilma,2005,10/24/2005,4:00 a.m.,10/24/2005,4:00 p.m.,Seminole Electric Cooperative,"Florida counties of Collier, Charlotte and Lee",FRCC,280,"105,000","105,000","severe weather, hurricane/tropical storm","Florida counties of Collier, Charlotte and Lee",Florida
Hurricane Wilma,2005,10/24/2005,7:00 a.m.,11/10/2005,12:00 a.m.,Florida Municipal Power Agency,"South Florida - Cities of Key West, Clewiston, Lake Worth, and Ft. Pierce",FRCC,148,"84,900","84,900","severe weather, hurricane/tropical storm","South Florida - Cities of Key West, Clewiston, Lake Worth, and Ft. Pierce",Florida
Hurricane Wilma,2005,10/23/2005,8:00 p.m..,10/24/2005,2:00 p.m.,Florida Power and Light,"South Florida, Naples, Ft. Myers, Miami, Ft. Lauderdale, West Palm Beach and Martin county",FRCC,"10,000","3,241,437","3,241,437","severe weather, hurricane/tropical storm","South Florida, Naples, Ft. Myers, Miami, Ft. Lauderdale, West Palm Beach and Martin county",Florida
Voltage Reduction/Load Shed,2005,10/22/2005,9:44 a.m.,10/22/2005,11:40 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,360,"85,682","85,682","voltage reduction, load shedding",Island of Puerto Rico,Puerto Rico
Voltage Reduction/Load Shed,2005,10/18/2005,3:19 p.m.,10/18/2005,3: 37 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,460,"142,591","142,591","voltage reduction, load shedding",Island of Puerto Rico,Puerto Rico
Voltage Reduction/Load Shed,2005,10/2/2005,5:40 p.m.,10/2/2005,5:54 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,312,"71,240","71,240","voltage reduction, load shedding",Island of Puerto Rico,Puerto Rico
Hurricane Rita,2005,9/24/2005,10:00 a.m.,9/28/2005,6:00 p.m.,American Electric Power - CSWS,"Shreveport, Louisiana",ECAR,700,"190,000","190,000","severe weather, hurricane/tropical storm","Shreveport, Louisiana",Louisiana
Hurricane Rita,2005,9/24/2005,6:00 a.m.,10/2/2005,5:00 p.m.,TXU Electric Delivery Company,"Nacogdoches, Lufkin, Tyler, Jacksonville, Rusk, Paris, Commerce, Huntington",ERCOT,260,"200,000","200,000","severe weather, hurricane/tropical storm",Texas,Texas
Hurricane Rita,2005,9/23/2005,5:00 p.m.,9/24/2005,8:00 p.m.,CenterPoint Energy Houston Electric,"Houston, Texas and the surrounding suburban areas",ERCOT,"1,950","715,000","715,000","severe weather, hurricane/tropical storm",Texas,Texas
Hurricane Rita,2005,9/23/2005,9:00 p.m.,9/25/2005,7:30 a.m.,Entergy Corporation,"Texas, Louisiana, Arkansas, and Mississippi",SPP,,"766,000","766,000","severe weather, hurricane/tropical storm","Texas, Louisiana, Arkansas, and Mississippi",Texas
Hurricane Rita,2005,9/23/2005,1:06 p.m.,10/6/2005,2:30 p.m.,Louisiana Generating,West and Southwest Louisiana,SPP,350,"125,000","125,000","severe weather, hurricane/tropical storm",West and Southwest Louisiana,Louisiana
Hurricane Rita  disrupted normal gas allotment through natural gas pipelines (FGT & Gulf stream). Public Appeals for conservation were issued.,2005,9/23/2005,7:00 a.m.,9/28/2005,11:29 a.m.,City of Lakeland,"Lakeland, Florida",FRCC,0,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal","Lakeland, Florida",Florida
Hurricane Rita disrupted fuel supply in the Gulf of Mexico. Public Appeals for conservation were issued.,2005,9/22/2005,12:00 p.m.,9/29/2005,12:00 p.m.,Progress Energy Florida,"Counties of Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",FRCC,0,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal",Florida,Florida
Severe Thunderstorm,2005,9/22/2005,11:00 a.m.,9/26/2005,11:30 p.m.,DTE Energy,Southeast Michigan,ECAR,366,"53,000","53,000","severe weather, thunderstorm",Southeast Michigan,Michigan
High Winds/Tornados,2005,9/21/2005,7:00 p.m.,9/27/2005,11:00 p.m.,Xcel Energy - Northern States  Power,Minnesota,MRO,,"200,000","200,000","severe weather, tornado",Minnesota,Minnesota
Hurricane Ophelia,2005,9/14/2005,3:00 p.m.,9/15/2005,3:00 p.m.,Progress Energy - Carolinas,Eastern North Carolina,SERC,215,"60,000","60,000","severe weather, hurricane/tropical storm",Eastern North Carolina,North Carolina
Severe Storm,2005,9/13/2005,6:30 p.m.,9/16/2005,8:00 p.m.,We Energies,Southeast Wisconsin and Fox Valley,MAIN,600,"110,000","110,000","severe weather, storm",Southeast Wisconsin and Fox Valley,Wisconsin
Voltage Reduction/Load Shed,2005,9/13/2005,2:14 p.m.,9/13/2005,2:29 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,249,"66,480","66,480","voltage reduction, load shedding",Island of Puerto Rico,Puerto Rico
Breaker protection cable accidentally cut,2005,9/12/2005,12:32 p.m.,9/12/2005,1:56 p.m.,Los Angeles Department of Water and Power,"Los Angeles, California",WECC,"2,578","900,000","900,000",equipment failure,California,California
Hurricane Katrina disrupted normal gas supplies distribution. Public appeals for conservation were issued.,2005,8/31/2005,4:00 p.m.,9/12/2005,8:00 a.m.,Seminole Electric Cooperative,Member Service Territory is located in the West coast of Florida from Tallahassee to Fort Myers,FRCC,0,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal",Member Service Territory is located in the West coast of Florida from Tallahassee to Fort Myers,Florida
Hurricane Katrina,2005,8/29/2005,6:00 a.m.,8/30/2005,6:00 a.m.,Entergy Corporation,"Buras, Louisiana",SPP,,"1.1 million and 100,000 gas customers","1,100,000","severe weather, hurricane/tropical storm","Buras, Louisiana",Louisiana
Hurricane Katrina disrupted fuel supply in the Gulf of Mexico. Public appeals for conservation were issued.,2005,8/29/2005,7:10 a.m.,9/7/2005,3:00 p.m.,Progress Energy Florida,"Counties of Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",FRCC,0,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency",Florida,Florida
Hurricane Katrina,2005,8/29/2005,1:10 a.m.,8/29/2005,12:42 p.m.,Louisiana Generating,East and Southeast Louisiana,SPP,300,"143,000","143,000","severe weather, hurricane/tropical storm",East and Southeast Louisiana,Louisiana
Hurricane Katrina  disrupted normal gas allotment through natural gas pipelines (FGT & Gulf stream). Public appeals for conservation were issued.,2005,8/29/2005,5:00 p.m.,9/8/2005,12:01 a.m.,City of Lakeland,"City of Lakeland, Florida",FRCC,0,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal","City of Lakeland, Florida",Florida
Hurricane Katrina,2005,8/29/2005,3:50 p.m.,9/10/2005,12:00 p.m.,Tennessee Valley Authority,"Alabama, Mississippi,  Tennessee",SERC,118.5,"323,529","323,529","severe weather, hurricane/tropical storm","Alabama, Mississippi,  Tennessee",Tennessee
Hurricane Katrina,2005,8/29/2005,7:10 a.m.,8/29/2005,10:00 p.m.,Southern Company,"Alabama, Florida, Mississippi",SERC,"5,120","512,049","512,049","severe weather, hurricane/tropical storm","Alabama, Florida, Mississippi",Mississippi
CAISO initiated interruption of  interruptible and firm load due to declaration of  Transmission Emergency in Southern California,2005,8/25/2005,3:51 p.m.,8/25/2005,8:00 p.m.,Southern California Edison Company,Southern California,WECC,864,"409,000","409,000","load shedding, transmission interruption",Southern California,California
CAISO determined there was  inadequate electric resources to serve load.  Public appeals and a shedding of interruptible and firm load occurred.,2005,8/25/2005,3:50 p.m.,8/25/2005,8:00 p.m.,California ISO,Southern California,WECC,-,-,,"load shedding, public appeal",Southern California,California
Severe Thunderstorms,2005,8/20/2005,2:15 p.m.,8/20/2005,4:21 p.m.,American Electric Power -AEP West,Northwest Arkansas,ECAR,650,"50,797","50,797","severe weather, thunderstorm",Northwest Arkansas,Arkansas
Voltage Reduction/Load Shed,2005,8/19/2005,7:37 p.m.,8/19/2005,8:15 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,259,"71,864","71,864","voltage reduction, load shedding",Island of Puerto Rico,Puerto Rico
Plant Tripped,2005,8/8/2005,12:38 p.m.,8/8/2005,4:00 p.m.,Crockett Cogeneration,"San Francisco Bay area, California",WECC,240,PG&E,,equipment failure,California,California
Voltage Reduction/Load Shed,2005,8/1/2005,10:28 a.m.,8/1/2005,10:47 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,175,"47,116","47,116","voltage reduction, load shedding",Island of Puerto Rico,Puerto Rico
Severe Thunderstorm,2005,7/28/2005,8:30 p.m.,8/1/2005,5:00 p.m.,Duke Energy Company/Duke Power Control Area,Piedmont North and South Carolina,SERC,300,"52,200","52,200","severe weather, thunderstorm",Piedmont North and South Carolina,South Carolina
Severe Thunderstorms,2005,7/27/2005,4:50 p.m,7/28/2005,9:24 p.m.,PECO Energy,"Bucks, Chester, Delaware, Montgomery and Philadelphia counties, Pennsylvania",MAAC,,"93,837","93,837","severe weather, thunderstorm","Bucks, Chester, Delaware, Montgomery and Philadelphia counties, Pennsylvania",Pennsylvania
Severe Thunderstorm,2005,7/27/2005,5:50 p.m.,7/30/2005,9:07 p.m.,Potomac Electric Power Company (Pepco),"Washington, DC, Montgomery and Prince Georges Counties, Maryland",MAAC,,"64,943","64,943","severe weather, thunderstorm","Washington, DC, Montgomery and Prince Georges Counties, Maryland",Washington
Severe Thunderstorms,2005,7/27/2005,6:00 p.m.,7/29/2005,4:00 p.m.,Baltimore Gas and Electric Company,"Baltimore County, Anne Arundel County and Prince Georges County, Maryland",MAAC,,"87,600","87,600","severe weather, thunderstorm","Baltimore County, Anne Arundel County and Prince Georges County, Maryland",Maryland
Severe Thunderstorms,2005,7/23/2005,1:02 a.m.,7/26/2005,10:50 a.m.,Potomac Electric Power Company (Pepco),"Washington, DC, Montgomery and Prince Georges Counties, Maryland",MAAC,,"55,118","55,118","severe weather, thunderstorm","Washington, DC, Montgomery and Prince Georges Counties, Maryland",Washington
CA ISO Stage 2 -Initiated interruption of Air Conditioner Cycling Interruptible Load Program,2005,7/22/2005,1:55 p.m.,7/22/2005,6:00 p.m.,Southern California Edison Company,Southern California,WECC,206,"133,900","133,900",load shedding,Southern California,California
